loss,id
1537.54333496,4
2034.26806641,6
9236.85546875,9
5938.66455078,12
825.937866211,15
2373.22753906,17
2155.59863281,21
891.836547852,28
2392.06323242,32
3123.96435547,43
2954.73486328,46
979.963012695,50
1247.58618164,54
1874.28149414,62
2252.0246582,70
4838.69482422,71
2059.65429688,75
2357.07568359,77
2465.52905273,81
2294.42504883,83
2084.4597168,87
1712.17822266,97
1269.44030762,103
1230.03308105,119
1915.21533203,120
973.071655273,127
4354.75634766,138
3394.87133789,141
754.540771484,148
2567.5859375,150
2111.99560547,151
1636.34509277,158
5488.20849609,160
2600.94384766,165
3682.05566406,168
3664.83422852,169
2775.09179688,177
3055.2121582,178
2046.42944336,184
8712.12597656,194
1844.18041992,198
3797.1652832,203
2459.74194336,211
1224.29016113,217
1386.62475586,219
4455.88183594,221
1722.46813965,227
1634.21154785,230
1926.90283203,235
696.094726562,240
3000.02929688,243
6888.73681641,249
2756.75170898,253
1450.4888916,258
1688.13977051,261
3463.02368164,263
2547.63989258,264
4178.27441406,265
1791.72521973,268
1128.63439941,271
5624.84423828,274
711.317932129,275
1577.60925293,279
1628.42541504,282
3122.43041992,286
1168.92004395,288
2221.2331543,294
1019.18041992,296
1434.60522461,297
806.145812988,300
8342.66113281,303
1026.98083496,314
4423.51904297,315
2617.9921875,321
4218.93457031,323
3686.10058594,330
1843.60632324,341
4207.12939453,342
1626.95080566,352
3481.56762695,353
5047.08398438,360
2178.72558594,361
4079.65478516,362
1336.67041016,366
3550.20092773,372
2706.95703125,376
2335.69482422,377
1613.32214355,379
3743.1628418,380
1848.84106445,387
2040.84692383,392
10319.5644531,394
1592.80566406,395
1512.84729004,397
5940.50341797,407
8279.96582031,411
2592.2824707,416
1577.38964844,417
3442.74169922,419
5351.48339844,428
1765.10058594,431
8030.3125,436
1452.14318848,438
6761.91162109,445
7497.11425781,446
1275.61999512,455
1307.94836426,456
910.206176758,461
1912.05249023,463
3771.30102539,464
1817.45568848,466
1479.43432617,467
1235.86425781,470
1463.44897461,475
3060.02734375,482
3407.00073242,490
1766.76452637,496
4027.15771484,497
2880.1394043,508
1800.29589844,510
2002.67895508,512
3608.53857422,513
1780.61877441,523
4884.31933594,531
2349.99658203,532
1401.4564209,533
1169.7545166,537
4663.37353516,544
2826.86181641,547
7715.1796875,556
1346.5020752,565
1230.99621582,566
1442.00244141,571
1645.27807617,573
922.649780273,574
1923.08081055,581
2039.29492188,585
2102.78979492,589
1694.43188477,597
3645.18017578,601
1708.74023438,602
1603.11938477,613
1528.64624023,616
2194.54296875,619
2235.86474609,622
1986.05566406,623
