id,loss
1,1800.18969727
2,1744.32128906
5,4373.00439453
10,998.60559082
11,3331.27685547
13,4106.57470703
14,1209.06640625
20,6570.01171875
23,8389.09375
24,6276.23193359
25,4718.46142578
33,5691.18847656
34,1982.96142578
41,999.220336914
47,785.15246582
48,1219.8236084
49,8898.80859375
51,1471.26464844
52,3955.3359375
55,2194.28588867
57,1004.15789795
60,986.92199707
61,1181.7623291
66,2025.6763916
73,2270.078125
76,2070.33447266
86,2385.88085938
89,1243.27319336
90,6195.01025391
93,1989.95275879
100,2542.91674805
105,1763.24816895
107,4477.15283203
111,3301.69799805
112,1313.22338867
116,1317.59362793
118,4296.62402344
125,12826.0996094
130,1435.61413574
139,2732.45336914
140,1044.26660156
144,5673.80175781
146,4533.41796875
149,2371.00683594
153,1323.13500977
156,11531.4804688
162,1184.84545898
166,819.092102051
167,1385.11230469
171,1545.95458984
172,2424.93847656
173,2288.4074707
174,2347.42407227
175,2473.64794922
186,1739.63757324
191,2176.87597656
197,1588.1159668
200,1623.33898926
202,2510.32324219
205,3814.44311523
207,1935.8972168
208,1238.57263184
212,1210.81079102
215,2538.47045898
218,1645.0234375
222,17972.34375
223,1478.38952637
225,1667.46228027
226,1367.36877441
228,4786.27392578
232,1074.18212891
233,3629.68969727
237,2012.22729492
244,4983.39697266
245,1493.56396484
248,1540.97497559
259,2052.26953125
260,2069.18554688
276,3510.12719727
277,2953.55664062
285,1834.12646484
289,4652.07861328
291,1940.87756348
292,1127.81591797
293,1369.72412109
298,1329.40942383
306,1234.32043457
308,1271.7989502
316,986.395446777
318,572.641845703
319,1272.82250977
320,1817.90246582
322,1485.0390625
324,2185.08691406
325,4382.18310547
327,2626.11352539
333,1858.31347656
335,3378.50439453
337,1206.17541504
343,2458.64355469
351,1132.93566895
354,3261.7409668
383,1539.38623047
386,1965.75744629
388,4465.01806641
393,1382.60351562
401,2731.55712891
402,1524.54248047
404,3638.77905273
406,1576.21508789
409,5387.28417969
412,1122.44055176
414,1106.57568359
418,2283.85766602
422,3499.68310547
424,1488.50671387
427,755.577209473
430,1742.91015625
433,2559.29785156
435,2062.22045898
437,1782.91430664
439,1452.41882324
440,5494.05566406
442,3887.26708984
443,3515.15576172
449,11770.1328125
450,1852.06945801
451,2206.02099609
454,2360.09643555
458,7507.64208984
474,2114.82910156
476,2039.00476074
478,2722.53686523
481,1327.03674316
484,2873.98144531
488,1240.79907227
493,5302.18798828
499,1333.25463867
502,6033.88574219
511,797.898742676
516,1672.31030273
517,1061.6048584
522,2038.70324707
526,1366.54211426
527,1344.59814453
534,1404.20361328
536,3512.83569336
538,1861.61633301
540,1803.28747559
542,821.64831543
550,1101.2130127
552,3175.14257812
560,3445.61450195
561,1749.52197266
562,3883.69165039
563,1533.75964355
567,3202.01000977
568,2838.88427734
572,1682.83105469
576,1173.18847656
577,4656.03125
578,1342.171875
584,1496.48461914
586,1719.32763672
590,2858.68432617
592,1488.92224121
596,1317.93823242
598,1121.96057129
599,1219.06640625
603,2299.17407227
605,3730.06567383
606,1177.03125
607,804.627319336
608,4540.47607422
610,3446.05615234
611,2136.03833008
612,4190.11474609
614,7508.91601562
617,1833.39147949
621,3947.76904297
625,651.225708008
626,2493.57080078
627,1877.02734375
630,3015.86376953
632,1438.79907227
640,2663.27246094
644,1370.42163086
650,5987.06103516
653,1305.72412109
657,2054.91479492
658,3698.74145508
663,1140.64025879
667,1656.6541748
670,2297.39306641
674,2105.58422852
677,4353.68554688
679,2327.10400391
681,1336.30834961
685,2162.33764648
687,1315.16064453
691,8266.58007812
693,1702.85620117
699,3775.53369141
700,3369.60131836
702,2579.17822266
711,2765.67260742
714,2267.00488281
716,1339.42089844
720,7780.53759766
724,1509.73364258
727,1276.01049805
732,5939.62597656
738,1855.72692871
740,2659.07128906
743,2233.95825195
752,802.508544922
754,2013.88623047
756,922.616149902
762,674.619384766
764,2864.68139648
766,1865.55859375
772,2475.74731445
780,794.511230469
781,1622.55578613
784,1500.55712891
786,1198.91906738
787,2631.36962891
789,3021.7722168
793,11247.2626953
797,5595.93212891
803,2566.87573242
804,1758.70092773
806,1917.14453125
810,1288.64038086
811,1789.05358887
813,2550.97753906
814,655.742492676
819,1569.28137207
821,2343.73022461
824,835.967773438
827,1136.39575195
829,5502.29541016
835,1128.1763916
836,1581.77294922
837,1319.76855469
843,2663.82202148
848,3118.17163086
854,1362.88171387
855,1442.27563477
856,3071.83740234
857,3388.47998047
860,1661.73657227
867,5426.734375
870,3233.43798828
871,1449.29492188
878,9645.09375
881,3118.72631836
882,4340.41308594
887,1264.0723877
890,3346.41894531
892,1259.84411621
893,1514.39978027
894,1410.92590332
895,1845.99963379
898,3193.98071289
900,4052.58374023
902,1892.53051758
903,1730.96691895
905,1872.62280273
906,1621.97949219
907,2613.04931641
908,1280.6953125
909,2334.56713867
912,3551.26245117
914,2264.39477539
915,1265.87475586
917,3182.62158203
919,2234.77636719
920,1414.74194336
921,2193.43066406
926,9980.40722656
930,2149.06347656
936,1734.09436035
937,7160.81933594
938,3748.78149414
939,4584.13085938
946,4815.79394531
951,1893.42553711
953,3038.29003906
958,2480.45751953
961,1927.89318848
968,2287.36816406
969,1249.39245605
970,2095.28369141
971,6739.45214844
972,1133.92944336
973,1197.33227539
974,2454.86035156
980,723.262573242
982,1157.36962891
985,1365.45141602
987,9172.43652344
988,1306.95385742
991,5392.58496094
992,2008.83764648
993,1646.01879883
996,1719.33325195
997,5209.09570312
1001,2056.10009766
1009,1061.86914062
1013,1866.74609375
1014,3167.42480469
1015,831.5
1017,2733.80078125
1020,3910.24707031
1026,3522.75048828
1027,1380.40917969
1030,5528.45263672
1032,2039.52111816
1037,7359.41748047
1039,9931.03710938
1041,2522.42919922
1043,3925.96484375
1046,1355.19873047
1049,5092.0703125
1050,11787.1777344
1052,1743.52246094
1053,5184.26220703
1062,1753.51330566
1065,2049.04321289
1068,1370.64550781
1070,910.278564453
1075,805.6484375
1079,6454.36035156
1081,3791.12475586
1082,1174.57202148
1086,925.972045898
1087,2228.82763672
1090,2966.56640625
1092,939.266296387
1094,1470.51086426
1095,2432.63012695
1099,2071.34277344
1104,3415.61816406
1107,2486.22412109
1110,2845.51977539
1112,2121.75854492
1117,2260.77612305
1119,1782.90844727
1125,3902.61694336
1128,2288.01220703
1129,4243.24902344
1131,2694.32519531
1134,2188.20239258
1139,1258.47167969
1141,1363.5715332
1148,4355.47705078
1151,2845.01538086
1155,4188.48388672
1156,1607.28662109
1158,2010.95825195
1159,1281.8828125
1160,1204.45202637
1161,1794.69274902
1162,2938.75805664
1166,3169.35327148
1167,1886.11962891
1168,802.753662109
1169,677.617248535
1173,1463.11621094
1174,4456.27734375
1175,1930.35876465
1176,1035.76831055
1177,3564.53930664
1178,4803.34179688
1181,1556.43994141
1186,798.489685059
1187,1942.37426758
1189,6520.94140625
1194,2362.80761719
1195,5018.87353516
1198,4939.38671875
1203,3781.90136719
1205,4862.27832031
1206,1081.31555176
1210,5188.70361328
1211,1652.63305664
1213,2807.55273438
1215,5403.52734375
1224,4044.20458984
1226,1483.35119629
1230,1032.00268555
1236,1426.50720215
1237,7488.31445312
1240,902.525146484
1246,1005.71368408
1256,1623.52294922
1257,1278.60229492
1261,1282.10388184
1266,828.221801758
1270,2223.96435547
1272,5256.41992188
1273,4507.17529297
1274,1424.56689453
1276,3192.39916992
1278,932.675598145
1282,2573.94360352
1283,2234.31567383
1284,1183.38049316
1285,1961.89916992
1288,3350.37475586
1291,1930.14599609
1296,1207.95019531
1297,4388.06640625
1298,3890.45019531
1302,937.985168457
1309,1231.70495605
1311,1666.05517578
1317,1662.05786133
1319,2308.61132812
1322,1636.05102539
1329,5693.27587891
1333,2993.11621094
1337,1469.58569336
1338,1680.22607422
1339,4284.98144531
1343,2729.78759766
1345,3648.11889648
1349,5646.06396484
1350,1366.33459473
1364,1643.06445312
1366,2704.70947266
1367,1459.30078125
1369,806.999145508
1370,3981.02929688
1372,1035.27319336
1379,1731.66418457
1386,1714.05053711
1389,748.261962891
1391,2792.18334961
1392,4708.09960938
1396,2172.91821289
1399,751.19909668
1400,2200.00976562
1407,4636.33691406
1412,3006.0234375
1413,2115.88989258
1414,1893.5246582
1416,7373.13037109
1417,924.581359863
1420,1410.41625977
1423,1495.07568359
1428,1461.3984375
1430,3324.76074219
1432,1848.31750488
1434,1847.72119141
1435,8056.41992188
1439,1000.25262451
1440,5519.81933594
1442,3220.69335938
1447,1418.28540039
1456,3377.61962891
1460,1134.25817871
1466,1902.3651123
1467,897.526733398
1470,3678.30688477
1472,1353.20483398
1476,1509.48425293
1477,2308.21191406
1487,1582.88696289
1495,1069.53222656
1496,2975.38720703
1497,749.530517578
1498,6848.96923828
1503,1013.05249023
1505,4250.99169922
1511,3743.55737305
1522,4598.13476562
1524,2257.24560547
1526,2847.93334961
1531,2100.23266602
1533,5948.37255859
1535,2214.38330078
1537,645.071350098
1538,1662.54443359
1540,3699.30078125
1543,1473.87402344
1544,1842.67089844
1548,2000.23181152
1566,1691.15185547
1571,11398.4707031
1572,1577.86804199
1574,1373.62927246
1577,898.57244873
1578,1779.95666504
1580,1907.59765625
1582,4644.07519531
1584,1550.28637695
1586,1266.38366699
1589,7465.91699219
1601,1327.65917969
1606,7498.04736328
1611,1955.37548828
1613,1955.7755127
