id,prediction
4,1462.28170898
6,2030.13555664
9,9729.91287109
12,6696.01076172
15,774.749766846
17,2341.52638672
21,2181.86019043
28,810.463117676
32,2583.74476074
43,3196.51345215
46,2929.95786621
50,1015.32839355
54,1194.35512451
62,2209.1813916
70,2413.02251465
71,5007.01810547
75,2057.74512939
77,2505.37144043
81,2588.51262695
83,2386.29089844
87,1913.14984863
97,1554.03551514
103,1071.68406006
119,1124.8301001
120,1762.22940918
127,1045.89136108
138,4462.42553711
141,3895.16546875
148,765.142858887
150,2324.29045898
151,2317.03470215
158,1598.83496338
160,6166.44453125
165,2811.55832031
168,3571.45192871
169,3665.51888672
177,2778.98737793
178,3238.87504395
184,2174.73318848
194,9341.75253906
198,1769.74414062
203,3466.77459473
211,2311.13183594
217,1190.21343018
219,1227.7471875
221,5428.56920898
227,1917.3048584
230,1572.24033203
235,2068.57023926
240,673.994343262
243,3168.67415527
249,6997.68553711
253,2567.23818359
258,1345.60740723
261,1786.83554688
263,3340.49716797
264,2538.60426758
265,4072.17335938
268,1882.53829102
271,1091.10178467
274,5929.31282227
275,675.983674316
279,1439.92179199
282,1664.13282959
286,3265.39055664
288,1063.49403076
294,2118.22966309
296,972.956392822
297,1423.19099609
300,735.92901123
303,9057.65597656
314,974.250858154
315,4932.19230469
321,2620.7725
323,3730.30797852
330,3860.84875
341,1882.63198486
342,4500.01380859
352,1571.45723633
353,3725.08104492
360,5291.74828125
361,2312.85748047
362,4477.76014648
366,1314.62022217
372,3252.31667969
376,2757.46987793
377,2319.96678711
379,1626.71161865
380,3748.09313965
387,1823.88366455
392,1962.95537109
394,10836.9344531
395,1534.39768799
397,1438.5135498
407,5938.84990234
411,9382.32144531
416,2639.06353027
417,1523.86904785
419,4366.47195313
428,6202.2321582
431,1800.34052979
436,9120.12703125
438,1539.24970703
445,6772.23863281
446,7253.36387695
455,1326.84174316
456,1279.55262207
461,936.874718018
463,1810.67043213
464,3835.34239258
466,1769.0072876
467,1243.79856934
470,1239.42052734
475,1418.56892334
482,3391.04563477
490,3592.18896484
496,1792.48872559
497,4518.7325293
508,2923.31769531
510,1884.51830811
512,1964.97645752
513,3837.67606445
523,1747.24601318
531,4990.65880859
532,2242.64848145
533,1344.66571777
537,1130.64063965
544,5033.11810547
547,2710.58646973
556,8328.24220703
565,1460.45718506
566,1173.29109375
571,1366.26361572
573,1750.93588135
574,895.299438477
581,1962.06973389
585,2120.12583008
589,1739.67940186
597,1826.18982178
601,3352.40708008
602,1738.85067139
613,1449.96586426
616,1433.57713379
619,2289.72970215
622,1792.00608643
623,2078.42388672
629,1618.42941895
634,1486.12067627
638,980.474891357
642,1024.37163818
643,2064.96457764
645,982.169239502
648,7608.11182617
652,1159.93981201
664,950.83678833
666,2276.87778809
672,849.160571289
676,2331.8073877
678,4909.52699219
682,1921.17401855
686,2958.68878418
688,2194.53111328
689,1129.91895996
690,1796.08795654
692,12542.1974219
695,1629.26327393
697,4192.13079102
698,2186.05205078
706,2662.80144531
708,1450.85217041
712,2818.9277002
715,4246.59635742
717,1372.80750488
725,3266.33121094
729,1057.56030518
737,1328.34306396
739,5596.42924805
747,3947.91524414
753,2698.51037598
758,2253.5554541
759,2116.30771484
763,1313.33477783
773,4117.91904785
774,1977.18854492
776,1441.03794922
788,2955.36545898
790,3365.78192871
794,943.215021973
801,2963.77300781
802,1394.60472412
805,1372.60676025
809,5366.19457031
812,1586.31645508
825,2411.3855957
828,2161.92795898
830,1393.00322021
833,1111.61772217
850,5681.77367188
852,6378.43396484
862,1481.13037354
863,1349.49953369
864,1520.31220215
865,3730.38508789
868,6960.86491211
872,1512.62295166
879,5302.95178711
880,1565.67970215
883,1235.56003906
886,1333.67986572
923,1746.71566162
924,1439.85086426
932,1482.18167969
945,6771.74797852
947,6509.66241211
948,2260.60924316
955,2682.39649414
963,4042.51648926
979,1335.71565918
989,1483.742854
994,3021.8717334
995,1897.5604126
998,1315.64741699
1000,4417.59311523
1018,1737.89047607
1019,1651.42293945
1028,1855.79912842
1034,1342.62647705
1038,1643.63818848
1040,1343.82268066
1042,1353.30422119
1057,7339.29874023
1058,2414.57646973
1063,954.847158203
1066,4792.4884668
1071,4234.34327148
1073,3850.75464355
1074,2768.18939941
1077,2753.22844238
1080,9967.30294922
1088,825.627515869
1096,736.243757324
1097,12424.2412109
1105,5880.29234375
1115,1947.14069092
1116,3018.40577637
1122,2256.81755371
1130,5257.22939453
1133,963.733275146
1137,1669.02079834
1140,1937.02541504
1143,8391.16131836
1149,5866.30005859
1150,893.169234619
1153,726.45010498
1157,815.693193359
1180,585.095328369
1183,922.104799805
1188,1637.96710205
1193,1018.89195923
1200,741.947928467
1209,4296.20761719
1214,1920.93645508
1219,1992.7374707
1223,6117.35392578
1227,781.036660156
1228,1513.96959473
1229,4650.09696289
1233,846.434890137
1238,6614.52988281
1239,2017.02800293
1241,3340.39592285
1243,1804.00268799
1244,1090.966875
1245,3232.4557373
1277,4758.61206055
1279,3333.01303711
1292,12768.3470703
1293,1361.08605225
1299,9498.17445313
1304,2959.35095703
1313,3666.15741211
1328,2141.06827637
1330,1059.97047974
1334,1474.07018555
1335,1290.91544922
1336,6319.53694336
1341,1023.61175415
1344,1088.41251709
1351,804.639017334
1352,2500.32462402
1354,1500.22850342
1368,4093.8785791
1373,1473.2175293
1375,617.258648682
1381,1521.32771484
1384,5195.96723633
1385,4475.77166016
1388,5794.17582031
1401,6157.89449219
1402,2675.7311084
1404,1477.47960449
1406,1430.48017578
1409,1078.11321045
1422,1353.14734863
1429,3077.88566406
1433,5879.01298828
1438,1058.15551514
1444,1107.07853271
1446,1065.90361328
1450,1113.77966797
1451,747.395029297
1454,1806.76801514
1458,2186.8502002
1461,3677.57534668
1464,6101.86443359
1465,933.564262695
1478,2240.71967285
1479,1640.23153076
1480,2569.59321289
1484,2341.98818359
1486,819.22380127
1488,825.024196777
1489,3476.23667969
1491,985.092531738
1507,2078.44272705
1515,2241.73141113
1519,2766.64158203
1528,1692.00167236
1529,898.463527832
1530,3125.17142578
1532,1124.67147461
1541,1622.35179932
1542,3397.12180664
1547,1333.47841797
1549,1141.97368652
1553,2434.74962891
1554,3176.79533691
1555,1251.40486816
1559,1578.85796143
1565,1530.82723389
1568,1151.15284668
1576,3948.75257324
1579,985.54192749
1592,877.356644287
1596,3348.52947754
1605,884.928770752
1607,1446.19797607
1612,2081.56585937
1617,3037.0577832
1619,2275.85606445
1620,8681.48205078
1624,2548.37116211
1627,1268.90390869
1633,1750.26886719
1636,1268.98394043
1639,1081.74253174
1640,4503.84251953
1644,1110.87613525
1646,1403.269375
1647,2405.4161084
1654,1278.08299805
1655,3233.38476074
1664,6655.62009766
1665,2168.66088867
1667,5238.099375
1669,1102.10550049
1678,2298.25515625
1682,1880.33345947
1689,994.945574951
1690,2655.05024902
1693,5869.01397461
1695,918.374071045
1705,2235.32916504
1706,2686.15376465
1708,2210.62544434
1716,2107.57722168
1720,8895.33244141
1722,1732.41978027
1749,4316.83048828
1750,1433.70384521
1751,5727.02928711
1760,2752.02666016
1763,4137.1028125
1770,1462.11440674
1777,1971.47487549
1785,5721.87345703
1791,1086.58037354
1794,4447.09097656
1800,1193.2415625
1816,1245.40460205
1817,929.772004395
1821,3185.10533203
1836,1353.40327148
1838,1644.11832031
1851,1857.4870874
1852,2850.42257324
1854,2418.80785156
1856,780.846843262
1865,748.04508667
1872,1067.85140137
1878,727.196335449
1880,973.211578369
1881,1404.02427979
1882,1804.67592529
1886,827.730059814
1892,1451.58786621
1894,2346.1679541
1898,2741.75598145
1899,2435.24890625
1902,1166.61219971
1903,3835.98922852
1906,1427.49758057
1910,2223.04554688
1911,1717.19900635
1914,3436.6310498
1929,3217.75563965
1932,1380.41111572
1952,951.488537598
1959,1315.0774707
1960,1852.63099365
1976,3795.61197266
1980,2913.26276367
1981,2053.25223633
1987,2186.09004395
1994,1713.24002686
2000,813.460501709
2008,2189.37361328
2011,2395.18479492
2012,5346.62829102
2019,1756.82079834
2022,3459.90443359
2024,9116.70046875
2028,870.500358887
2030,3672.54169434
2031,7615.3381543
2047,1815.60257568
2049,620.970383301
2050,1507.64852295
2051,4629.9253125
2056,1629.14371582
2057,996.229929199
2059,2459.18813965
2069,3920.70199219
2085,1655.80371826
2089,868.704968262
2090,1546.47771973
2101,3027.19664551
2114,2263.41821289
2115,1317.0327832
2118,1282.04278076
2119,2325.33897949
2125,1602.48205078
2128,3159.46370117
2129,1473.0840332
2132,1752.87707031
2133,2325.21447266
2135,691.367166748
2136,1691.02649414
2143,1152.21636475
2144,1144.09452148
2145,2918.71571289
2152,2212.79986328
2160,3463.28796875
2166,1534.31445312
2169,1066.63749512
2170,1355.72739502
2172,1678.42583496
2181,1486.84365723
2183,1718.2383374
2185,2997.10895508
2188,2431.48013184
2189,2155.70477539
2194,5016.36167969
2202,1498.38153076
2208,2786.55226074
2227,1716.3177124
2230,5680.69835938
2235,2227.20055176
2236,1719.96601318
2244,7237.88164062
2248,1511.33881592
2252,1433.97210449
2254,1591.20600342
2260,5939.92645508
2263,1993.8124292
2274,1553.89196777
2277,937.534814453
2279,6526.66605469
2280,12185.9714453
2283,2810.23273926
2284,783.760463867
2288,2973.21307617
2292,2008.33756348
2295,5353.22667969
2296,1183.25587402
2299,2490.87361816
2315,5358.91578125
2318,1564.33244629
2329,10693.0557031
2337,1531.03521729
2340,936.323167725
2342,1682.66135498
2347,2335.28225586
2349,4532.10677734
2354,1262.5827002
2361,2493.85220215
2370,1623.67928711
2378,2892.20186035
2382,3908.13942871
2387,1424.5689624
2389,2050.04907227
2394,1347.8635791
2396,2125.62873535
2400,2883.50973145
2407,2494.31669434
2414,1023.09491455
2415,1833.03086182
2421,2134.32626953
2427,1641.41565186
2428,2425.69740234
2430,2628.73943359
2435,2325.39708984
2445,4943.49195312
2446,1685.78262695
2447,1226.91669434
2449,2020.86079346
2451,1855.65239746
2458,14777.6442578
2462,11009.009707
2463,2681.56319824
2467,2215.40990234
2471,6335.72688477
2475,2102.43269531
2478,3110.23976074
2483,4625.91901367
2485,1082.87338623
2487,1127.29611816
2494,652.962229004
2497,1803.55297363
2499,1517.57121826
2503,1360.10935547
2513,2724.38626953
2515,2096.2828125
2522,1688.90991211
2523,1333.8756665
2528,2811.40129883
2532,5344.51342773
2536,1048.7706189
2538,1552.64156982
2539,964.978382568
2540,2179.32820801
2545,5009.42350586
2548,1060.78532471
2549,941.959024658
2553,2409.61077148
2563,1649.89390625
2566,2211.06818359
2574,1386.56215332
2575,2897.31631836
2584,2758.52616699
2588,2497.11446289
2589,900.67322998
2592,1541.09192383
2596,1449.06791504
2598,1576.73154541
2602,964.463843994
2603,1453.69273193
2607,2422.93703125
2609,1375.14999512
2611,5540.99280273
2627,1559.42900146
2628,1830.88292725
2630,3038.85862793
2633,2239.8551123
2636,7482.00092773
2640,1005.44223877
2641,1222.92587891
2657,4647.43142578
2659,972.732554932
2662,1017.73123291
2663,1874.99616455
2667,2254.09880859
2670,907.554698486
2682,2116.65637207
2694,3150.06643555
2699,6399.28677734
2700,3117.41289551
2703,5736.8440625
2708,2137.32075195
2714,896.079425049
2725,668.359830322
2726,1274.64939209
2727,1188.70187256
2732,1887.90008057
2733,5522.54290039
2736,5486.29272461
2745,2370.32714355
2760,1290.84091553
2764,2017.68899902
2765,6303.2709375
2766,589.33630127
2775,1935.77666748
2783,1633.76111328
2784,1060.22301147
2786,2250.87643555
2801,1280.15479248
2803,1874.72165527
2813,5599.73123047
2815,6920.56913086
2816,1390.94181885
2818,2795.73282227
2819,2285.96377441
2822,1162.36368652
2825,1729.57456299
2826,1299.17254395
2830,1492.10811035
2834,1302.57327881
2835,6105.90751953
2856,2752.80881836
2873,6307.836875
2886,6124.10111328
2892,3536.36178223
2896,934.482042236
2897,965.959014893
2899,2085.74594482
2901,1030.24712769
2909,5788.65806641
2914,3716.34232422
2915,1150.8299707
2916,2303.3766748
2919,860.157025146
2926,2616.61380859
2927,1897.51442139
2933,1447.55436523
2934,3011.21686523
2941,1773.66760254
2942,1749.62203125
2946,2414.52523926
2949,1615.22361084
2952,1647.17207764
2957,9627.72490234
2962,1968.40400635
2963,889.134954834
2965,1960.12857178
2966,6628.40391602
